ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,7.93,gpu_fill_kernel_,gpu_fill_kernel_(CompilerMetadata..CartesianIndices..,0.00,0.00,3.94,12.00,16,"   32,    1,    1","  768,    1,    1",Kernel: SIMT
1,7.64,gpu_fill_kernel_,gpu_fill_kernel_(CompilerMetadata..CartesianIndices..,0.00,0.00,7.42,21.84,16,"   70,    1,    1","  768,    1,    1",Kernel: SIMT
2,24.44,gpu_CellBasedKernelStrided,gpu_CellBasedKernelStrided..StaticSize<_128__..UpwindScheme..,0.03,0.01,12.94,17.61,48,"   32,    1,    1","  128,    1,    1",Kernel: SIMT
3,24.43,gpu_CellBasedKernelStrided,gpu_CellBasedKernelStrided..StaticSize<_128__..UpwindScheme..,0.03,0.01,13.00,17.58,48,"   32,    1,    1","  128,    1,    1",Kernel: SIMT
4,21.23,gpu_CellBasedKernelStrided,gpu_CellBasedKernelStrided..StaticSize<_128__..UpwindScheme..,35.98,7.64,9.93,30.09,48,"   32,    1,    1","  128,    1,    1",Kernel: SIMT
5,74.77,gpu_CellBasedKernelStrided,gpu_CellBasedKernelStrided..StaticSize<_128__..UpwindScheme..,35.98,26.90,9.93,30.09,48,"   32,    1,    1","  128,    1,    1",Kernel: SIMT
6,68.04,gpu_CellBasedKernelStrided,gpu_CellBasedKernelStrided..StaticSize<_128__..UpwindScheme..,14.42,9.81,23.44,58.93,48," 4096,    1,    1","  128,    1,    1",Kernel: SIMT
7,62.74,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.05,2.54,40.52,73.22,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
8,62.66,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.28,2.68,38.21,69.93,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
9,63.21,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.74,3.00,34.48,66.16,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
10,64.55,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.87,3.14,34.08,67.47,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
11,63.60,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.56,2.90,35.56,70.69,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
12,63.04,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,4.47,2.82,35.91,68.32,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
13,30.53,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.30,0.09,28.15,69.47,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
14,14.03,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.20,0.03,33.36,85.97,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
15,11.00,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.18,0.02,34.87,89.00,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
16,27.06,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.18,0.05,35.25,90.00,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
17,27.20,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.18,0.05,35.44,89.59,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
18,27.77,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.18,0.05,36.12,91.56,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
19,27.99,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.05,36.37,92.57,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
20,69.61,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.12,36.42,92.82,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
21,28.99,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.05,37.81,93.26,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
22,28.04,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.05,36.66,92.87,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
23,28.13,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.05,36.64,92.75,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
24,27.91,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.17,0.05,36.39,92.80,40," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
25,59.33,gpu_batched_boundary,gpu_batched_boundary..StaticSize<_64__..UpwindScheme..,0.18,0.11,5.85,58.07,39," 8192,    1,    1","   64,    1,    1",Kernel: SIMT
26,68.00,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,2.31,1.57,12.14,78.50,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
27,67.25,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,2.51,1.69,11.19,76.05,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
28,67.74,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,2.96,2.00,9.50,68.80,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
29,67.14,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,3.17,2.13,8.90,67.45,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
30,66.51,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,2.92,1.94,9.55,73.58,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
31,66.42,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,2.75,1.83,9.30,72.69,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
32,63.49,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.06,0.04,5.65,40.05,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
33,74.37,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.01,3.73,25.63,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
34,83.36,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.01,2.02,14.20,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
35,79.72,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.01,1.69,4.60,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
36,73.76,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.73,2.43,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
37,74.70,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.78,1.15,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
38,76.63,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.87,0.75,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
39,75.25,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.94,0.73,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
40,72.40,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.95,1.01,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
41,73.44,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.94,0.78,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
42,75.39,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.95,0.89,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
43,76.68,gpu_nongrouped_internal,gpu_nongrouped_internal..StaticSize<_64__..UpwindScheme..,0.01,0.00,1.96,1.30,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
44,55.91,gpu_batched_boundary,gpu_batched_boundary..StaticSize<_64__..UpwindScheme..,0.19,0.11,5.60,56.00,39," 1024,    1,    1","   64,    1,    1",Kernel: SIMT
