time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,cpu,gpu
116.02558,116.877045,2.3861482,3.641045,LDC-S,LDC-S,faceBased,DivOnlyCDF,julia,double,false,true
146.02171,146.28995,3.1185896,3.615414,LDC-S,LDC-S,faceBased,UpwindDivLap,julia,double,false,true
142.64435,142.02928,1.774456,0.0,LDC-S,LDC-S,faceBased,CDFDivLap,julia,double,false,true
36.998367,37.467976,3.0543177,3.612276,LDC-S,LDC-S,faceBased,LaplaceOnly,julia,double,false,true
133.9442,134.49783,2.7985854,3.6294665,LDC-S,LDC-S,faceBased,DivOnlyUpwind,julia,double,false,true

955.3304,955.51776,14.325092,0.0,Wind,Wind,faceBased,DivOnlyCDF,julia,double,false,true
1138.3601,1143.8445,17.705822,0.0,Wind,Wind,faceBased,UpwindDivLap,julia,double,false,true
1044.7103,1061.5997,12.326191,0.0,Wind,Wind,faceBased,CDFDivLap,julia,double,false,true
324.21194,306.34457,18.173685,0.0,Wind,Wind,faceBased,LaplaceOnly,julia,double,false,true
955.6842,945.6069,8.108751,0.0,Wind,Wind,faceBased,DivOnlyUpwind,julia,double,false,true

1571.3019,1523.0963,44.80879,0.0,LDC-M,LDC-M,faceBased,DivOnlyCDF,julia,double,false,true
1425.2932,1431.9496,14.782162,0.0,LDC-M,LDC-M,faceBased,UpwindDivLap,julia,double,false,true
1405.5125,1400.194,13.9485,0.0,LDC-M,LDC-M,faceBased,CDFDivLap,julia,double,false,true
500.75107,384.41788,27.836842,0.0,LDC-M,LDC-M,faceBased,LaplaceOnly,julia,double,false,true
1272.8362,1267.5771,10.857605,0.0,LDC-M,LDC-M,faceBased,DivOnlyUpwind,julia,double,false,true
