case,cells,time_us,strategy,executor,julia_or_neon,threads
LDC_N260,17576000,6624459,Face-Based,Polyester,NeoN + Julia,1
LDC_N260,17576000,5978168,Face-Based,Polyester,NeoN + Julia,1
LDC_N260,17576000,6605594,Face-Based,Polyester,NeoN + Julia,1
LDC_N260,17576000,2451451,Face-Based,Polyester,NeoN + Julia,2
LDC_N260,17576000,2458030,Face-Based,Polyester,NeoN + Julia,2
LDC_N260,17576000,2411228,Face-Based,Polyester,NeoN + Julia,2
LDC_N260,17576000,1739732,Face-Based,Polyester,NeoN + Julia,4
LDC_N260,17576000,1516410,Face-Based,Polyester,NeoN + Julia,4
LDC_N260,17576000,1471437,Face-Based,Polyester,NeoN + Julia,4
LDC_N260,17576000,964923,Face-Based,Polyester,NeoN + Julia,8
LDC_N260,17576000,960690,Face-Based,Polyester,NeoN + Julia,8
LDC_N260,17576000,942947,Face-Based,Polyester,NeoN + Julia,8
LDC_N260,17576000,510834,Face-Based,Polyester,NeoN + Julia,16
LDC_N260,17576000,550901,Face-Based,Polyester,NeoN + Julia,16
LDC_N260,17576000,508226,Face-Based,Polyester,NeoN + Julia,16
LDC_N260,17576000,356760,Face-Based,Polyester,NeoN + Julia,32
LDC_N260,17576000,358776,Face-Based,Polyester,NeoN + Julia,32
LDC_N260,17576000,353137,Face-Based,Polyester,NeoN + Julia,32
LDC_N260,17576000,327508,Face-Based,Polyester,NeoN + Julia,64
LDC_N260,17576000,289345,Face-Based,Polyester,NeoN + Julia,64
LDC_N260,17576000,253478,Face-Based,Polyester,NeoN + Julia,64
LDC_N260,17576000,282438,Face-Based,Polyester,NeoN + Julia,128
LDC_N260,17576000,241728,Face-Based,Polyester,NeoN + Julia,128
LDC_N260,17576000,238739,Face-Based,Polyester,NeoN + Julia,128
LDC_N260,17576000,6480832,Face-Based,Threads,NeoN + Julia,1
LDC_N260,17576000,6419859,Face-Based,Threads,NeoN + Julia,1
LDC_N260,17576000,6531184,Face-Based,Threads,NeoN + Julia,1
LDC_N260,17576000,3927111,Face-Based,Threads,NeoN + Julia,2
LDC_N260,17576000,3911027,Face-Based,Threads,NeoN + Julia,2
LDC_N260,17576000,3805602,Face-Based,Threads,NeoN + Julia,2
LDC_N260,17576000,2519458,Face-Based,Threads,NeoN + Julia,4
LDC_N260,17576000,2767231,Face-Based,Threads,NeoN + Julia,4
LDC_N260,17576000,2704888,Face-Based,Threads,NeoN + Julia,4
LDC_N260,17576000,1737521,Face-Based,Threads,NeoN + Julia,8
LDC_N260,17576000,1708992,Face-Based,Threads,NeoN + Julia,8
LDC_N260,17576000,1739275,Face-Based,Threads,NeoN + Julia,8
LDC_N260,17576000,1062110,Face-Based,Threads,NeoN + Julia,16
LDC_N260,17576000,1104324,Face-Based,Threads,NeoN + Julia,16
LDC_N260,17576000,1241521,Face-Based,Threads,NeoN + Julia,16
LDC_N260,17576000,1309348,Face-Based,Threads,NeoN + Julia,32
LDC_N260,17576000,1426048,Face-Based,Threads,NeoN + Julia,32
LDC_N260,17576000,1327011,Face-Based,Threads,NeoN + Julia,32
LDC_N260,17576000,1435040,Face-Based,Threads,NeoN + Julia,64
LDC_N260,17576000,1794294,Face-Based,Threads,NeoN + Julia,64
LDC_N260,17576000,1843164,Face-Based,Threads,NeoN + Julia,64
LDC_N260,17576000,1071401,Face-Based,Threads,NeoN + Julia,128
LDC_N260,17576000,1161506,Face-Based,Threads,NeoN + Julia,128
LDC_N260,17576000,1497966,Face-Based,Threads,NeoN + Julia,128
